timestamp,jameson_godstow_differential,godstow_flag_status
2017-01-01 00:00:00+00:00,0.08,Green
2017-01-01 01:00:00+00:00,0.089,Green
2017-01-01 02:00:00+00:00,0.081,Green
2017-01-01 03:00:04+00:00,0.076,Green
2017-01-01 04:00:04+00:00,0.085,Green
2017-01-01 05:00:03+00:00,0.089,Green
2017-01-01 06:00:01+00:00,0.076,Green
2017-01-01 07:00:00+00:00,0.082,Green
2017-01-01 08:00:00+00:00,0.088,Green
2017-01-01 09:00:00+00:00,0.08,Green
2017-01-01 10:00:00+00:00,0.084,Green
2017-01-01 11:00:00+00:00,0.085,Green
2017-01-01 12:00:00+00:00,0.082,Green
2017-01-01 13:00:00+00:00,0.081,Green
2017-01-01 14:00:00+00:00,0.082,Green
2017-01-01 15:00:00+00:00,0.081,Green
2017-01-01 16:00:00+00:00,0.081,Green
2017-01-01 17:00:00+00:00,0.077,Green
2017-01-01 18:00:00+00:00,0.08,Green
2017-01-01 19:00:03+00:00,0.081,Green
2017-01-01 20:00:00+00:00,0.055,Green
2017-01-01 21:00:00+00:00,0.085,Green
2017-01-01 22:00:00+00:00,0.087,Green
2017-01-01 23:00:00+00:00,0.089,Green
2017-01-02 00:00:00+00:00,0.087,Green
2017-01-02 01:00:00+00:00,0.087,Green
2017-01-02 02:00:00+00:00,0.088,Green
2017-01-02 03:00:00+00:00,0.09,Green
2017-01-02 04:00:00+00:00,0.088,Green
2017-01-02 05:00:00+00:00,0.091,Green
2017-01-02 06:00:00+00:00,0.089,Green
2017-01-02 07:00:00+00:00,0.093,Green
2017-01-02 08:00:00+00:00,0.093,Green
2017-01-02 09:00:00+00:00,0.092,Green
2017-01-02 10:00:00+00:00,0.09,Green
2017-01-02 11:00:01+00:00,0.095,Green
2017-01-02 12:00:00+00:00,0.111,Green
2017-01-02 13:00:00+00:00,0.113,Green
2017-01-02 14:00:00+00:00,0.114,Green
2017-01-02 15:00:00+00:00,0.113,Green
2017-01-02 16:00:00+00:00,0.119,Green
2017-01-02 17:00:00+00:00,0.113,Green
2017-01-02 18:00:00+00:00,0.115,Green
2017-01-02 19:00:00+00:00,0.123,Green
2017-01-02 20:00:00+00:00,0.149,Green
2017-01-02 21:00:00+00:00,0.15,Green
2017-01-02 22:00:00+00:00,0.148,Green
2017-01-02 23:00:00+00:00,0.146,Green
2017-01-03 00:00:00+00:00,0.149,Green
2017-01-03 01:00:00+00:00,0.147,Green
2017-01-03 02:00:00+00:00,0.148,Green
2017-01-03 03:00:00+00:00,0.149,Green
2017-01-03 04:00:00+00:00,0.146,Green
2017-01-03 05:00:00+00:00,0.146,Green
2017-01-03 06:00:00+00:00,0.145,Green
2017-01-03 07:00:00+00:00,0.145,Green
2017-01-03 08:00:00+00:00,0.148,Green
2017-01-03 09:00:00+00:00,0.147,Green
2017-01-03 10:00:00+00:00,0.146,Green
